about,address,brands,company_link,company_name,company_type,details,equip_categories,equipment,failed_fields,master_category,phone_number,specific_category,det_Annual Sales,det_No of Employees,det_Quality Certifications,det_Registrations,det_Year Founded,det_companyName,det_website,det_Additional Activities,det_Key Personnel,det_Primary Company Type,city,state,zip
,"San Rafael, CA 94903 | map",,http://blueeagleclean.com/,"Blue Eagle Products, Inc.",Manufacturer,"Manufacturer of agricultural chemicals, specifically waste treatment. Features natural, non-toxic, digestion of protein, cellulose, waste, fat, oil, and grease and conversion of it to water and carbon dioxide. Suitable for drain lines, septic tanks, cesspools, drain fields, and waste ponds. Other products available are industrial strength drain, floor, and multi-surface cleaners, NCA hard water and scale removers, pond and aquarium clarifiers, double-action industrial degreasers, dumpster and dock treatment, marine and RV holding tank equipment, bilge treatment, proportioning system, drain and grease traps, non-corrosive acids, hose-end hydro foamer, and battery misting and drip units. Markets serve are household, marine and RV, and commercial and industrial.",,"['Antimicrobials', 'Biocides', 'Biodegradable Compounds', 'Biologicals', 'Biomaterials', 'Biotechnology Equipment', 'Chemicals', 'Clarifiers', 'Clean-Up Equipment', 'Cleaning Compounds and Chemicals', 'Cleaning Equipment', 'Cleanroom Equipment', 'Compounds', 'COVID-19 Response', 'Degreasers', 'Deodorizers', 'Descalers', 'Disaster Preparedness Supplies', 'Disinfectants', 'Disinfectants, Sanitizers, Soap and Cleaners']","['equip_categories', 'brands']",agriculture,415-453-3992,Agricultural Chemicals,Under $1 Mil,9-Jan,Not Available,Not Available,2010'},"Blue Eagle Products, Inc.",http://blueeagleclean.com/,Failed,Not Available,Manufacturer,San Rafael,CA,94903
"Company Description by Thomasnet
Manufacturer Of Chemicals For Pharmaceutical, Cosmetic, Agrochemical And Biochemical Industries. Also Carries Rubber Chemicals, Metal Processing Chemicals, Chemicals For Electronics And Other High Performance Chemicals.","Gardena, CA 90248 | Locations",,https://www.calsak.com/,Calsak Corporation,Manufacturer,,"['Chemicals: Agricultural', 'Chemicals: Cosmetics', 'Chemicals: Pharmaceutical']",,"['details', 'equipment', 'brands']",agriculture,800-743-2595,Agricultural Chemicals,Not Available,Oct-49,Not Available,"<table><tbody><tr><td><img src=""//cdn.thomasnet.com/images/icons/grn_supplier_website.png"" title=""From Company Website"" alt=""From Company Website""></td><td><a href=""http://www.calsak.com/news-topics/c-tpat/"" target=""_blank"" data-event_type=""link"" data-advertiser_link=""http://www.calsak.com/news-topics/c-tpat/"" data-cert_id=""293582"" data-cert_name=""C-TPAT"" data-click_origin=""copro biz det"" data-client_ip=""69.27.5.110"" data-company_id=""30116543"" data-conversion_action=""From Company Website Certification"" data-coverage_area=""NA"" data-heading=""13790209"" data-hierarchy_1=""TNET"" data-hierarchy_2=""CERTIFICATIONS"" data-hierarchy_3=""From_Company_Website"" data-internal_search_term=""agriculture"" data-page_content_group=""Certifications"" data-servercallhost=""www.thomasnet.com"">C-TPAT</a></td></tr>\n</tbody></table>",Not Available'},Calsak Corporation,https://www.calsak.com/,Failed,Not Available,Failed,Gardena,CA,90248
"Company Description by Thomasnet
Dist Of Agricultural Chemicals & Fertilizer","Fillmore, CA 93015 | map",,http://www.agrx.com,AG RX,Distributor,,['Chemicals: Agricultural'],,"['details', 'equipment', 'brands']",agriculture,805-524-2687,Agricultural Chemicals,Under $1 Mil,9-Jan,Not Available,Not Available,1952'},AG RX,http://www.agrx.com,Failed,Not Available,Distributor,Fillmore,CA,93015
"Company Description by Thomasnet
Manufacturer Of Ind. Chemicals","North Hollywood, CA 91605 | map",,https://superthrive.com/,Superthrive,Manufacturer,,"['Chemicals: Agricultural', 'Chemicals', 'Chemicals: Industrial &amp; Technical', 'Chemicals: Organic', 'Hormones']",,"['details', 'equipment', 'brands']",agriculture,800-441-8482,Agricultural Chemicals,Not Available,Not Available,Not Available,Not Available,Not Available'},Superthrive,https://superthrive.com/,Distributor,Not Available,Manufacturer,North Hollywood,CA,91605
"Company Description by Thomasnet
Manufacturer of advanced intermediates for pharmaceutical, agrochemical and electronic chemical industries. Materials include electronic chemicals, organic compounds, generic APIs, and nitro compounds.","Pleasanton, CA 94566 | map",,http://www.chemlexpharma.com/en/index.html,Chemlex Pharmaceuticals LLC,Manufacturer,,"['Chemicals: Agricultural', 'Chemicals', 'Chemicals: Electronic', 'Chemicals: Pharmaceutical']",,"['details', 'equipment', 'brands']",agriculture,925-789-0388,Agricultural Chemicals,Under $1 Mil,9-Jan,Not Available,Not Available,2004'},Chemlex Pharmaceuticals LLC,http://www.chemlexpharma.com/en/index.html,Failed,Not Available,Manufacturer,Pleasanton,CA,94566
,"Five Points, CA 93624 | Locations",,http://www.simplot.com/,"Britz Fertilizers, Inc.",Manufacturer,Manufacturer & distributor of agricultural chemicals.,"['Chemicals: Agricultural', 'Insecticides']",,"['equipment', 'brands']",agriculture,559-884-2421,Agricultural Chemicals,Not Available,200-499,Not Available,Not Available,1940'},"Britz Fertilizers, Inc.",http://www.simplot.com/,Failed,Not Available,Failed,Five Points,CA,93624
"Company Description by Thomasnet
Distributor of electric terminals, AC & DC contactors, circuit breakers, general purpose relays, electric terminals & testing equip.","Simi Valley, CA 93065 | map","['Advance Controls', 'Alcoswitch', 'APEM', 'Arcolectric', 'Arrow-Hart', 'Bussmann', 'Carling Technologies', 'CCA', 'Chemtronics', 'Cherry', 'CML Innovative Technologies', 'Cole Hersee', 'Crouzet', 'Cutler-Hammer', 'Datex', 'Deltrol', 'E-T-A', 'Eaton', 'Electronic Hardware Corporation', 'Elmwood Sensors', 'Furnas', 'GE Security Industrial', 'Go Switch', 'Gordos', 'Grayhill', 'Guardian', 'Hella', 'Hollingsworth']",http://www.electricswitches.com,"Electric Switches, Inc.",Distributor,,['Chemicals: Agricultural'],"['Aircraft Parts', 'Annunciators', 'Blocks', 'Breakers', 'Buzzers', 'Chemicals', 'Contactors', 'Controls and Controllers', 'Counters', 'Electronics', 'Flashers', 'Fuses', 'Insulators', 'Knobs', 'LEDs', 'Lights', 'Motor Controllers and Drives', 'Paper', 'Printers', 'Protectors', 'Rectifiers and Diodes', 'Relays', 'Sensors / Detectors / Transducers', 'Solenoids', 'Suppressors', 'Switches', 'Terminals and Lugs', 'Timers']",['details'],agriculture,800-492-8002,Agricultural Chemicals,Under $1 Mil,9-Jan,Not Available,Not Available,1957'},"Electric Switches, Inc.",http://www.electricswitches.com,Failed,Not Available,Distributor,Simi Valley,CA,93065
"Company Description by Thomasnet
Manufacturer of agricultural chemicals and fertilizers including organics. Products provide crop protection from insects including spider-mites. Irrigation supplies and tools are also available.","Oxnard, CA 93030 | map",,http://www.usaagsupplies.com,USA AG Supplies Inc.,Distributor,,"['Chemicals: Agricultural', 'Chemicals']",,"['details', 'equipment', 'brands']",agriculture,805-988-0166,Agricultural Chemicals,Not Available,Not Available,Not Available,Not Available,2003'},USA AG Supplies Inc.,http://www.usaagsupplies.com,Failed,Not Available,Distributor,Oxnard,CA,93030
,"Huntington Beach, CA 92647 | map",,http://www.eco1st.com,Eco1st Technology Group,Manufacturer,"Manufacturer of standard and custom agricultural equipment, specifically irrigation enhancers. Features neutralization of negative effects of salinity and other contaminants; reduction of plant stress; and magneto-hydrodynamic frequency driven using the moving fluid energy. Specifications include 20 to 3500 gpm flow rates, 60 to 87 in. lengths, 16 to 36 in. widths, and 13-1/4 to 30 in. heights. Made from 304 stainless steel housing and wetted components. Other products offered are separators and filters. Suitable for farms, nurseries, golf courses, parks, and landscapes.",['Agricultural Equipment'],,"['equipment', 'brands']",agriculture,855-842-5800,Agricultural Equipment,Under $1 Mil,Oct-49,Not Available,Not Available,2008'},Eco1st Technology Group,http://www.eco1st.com,Failed,Failed,Failed,Huntington Beach,CA,92647
"Company Description by Thomasnet
Manufacturer of AC & DC motors, sub-fractional, integral & special purpose motors; servo drives & programmable controllers, adjustable speed drives, vector drives; electronic soft starters; bench & pedestal grinders","Commerce, CA 90040 | map",['Baldor'],,"Power Reps, Inc.",Manufacturer,,['Agricultural Equipment'],,"['details', 'equipment']",agriculture,323-724-6771,Agricultural Equipment,Not Available,Not Available,Not Available,Not Available,Not Available'},"Power Reps, Inc.",Failed,Custom Manufacturer,Not Available,Manufacturer,Commerce,CA,90040
"Company Description by Thomasnet
Manufacturer Providing Delivery Of Innovative Electronic Manufacturing & Lifecycle Solutions. This Process Includes Design, Engineering, Prototyping, Manufacturing And Supply Chain Logistics.","Fremont, CA 94538 | map",,https://www.aqs-inc.com,AQS-INC,Manufacturer,,"['Electronics: Agricultural', 'Electronics: Automotive', 'Electronics: Consumer', 'Electronics: Industrial', 'Electronics: Medical']","['Additive Manufacturing', 'Agricultural Equipment', 'Analyzers', 'Assemblies', 'Assembly Services', 'Audio Visual (AV) Equipment', 'Automation Systems', 'Catheters', 'Chromatographs', 'Communication Systems', 'COVID-19 Response', 'Electric Wire, Cable and Cable Assemblies', 'Electromechanical Devices', 'Electronic Components', 'Electronics', 'Enclosures', 'Engineering Services', 'Fulfillment Services', 'Laboratory Equipment', 'Lights', 'Machining', 'Manufacturing Services', 'Mechanical Wire, Cable and Rope', 'Medical Equipment']","['details', 'brands']",agriculture,510-249-5810,Agricultural Electronics,Under $1 Mil,100-199,Not Available,"<table><tbody><tr><td><img src=""//cdn.thomasnet.com/images/icons/grn_supplier_website.png"" title=""From Company Website"" alt=""From Company Website""></td><td><a href=""http://aqs-inc.com/?page_id=43"" target=""_blank"" data-event_type=""link"" data-advertiser_link=""http://aqs-inc.com/?page_id=43"" data-cert_id=""286919"" data-cert_name=""RoHS Compliant"" data-click_origin=""copro biz det"" data-client_ip=""69.27.5.110"" data-company_id=""30121532"" data-conversion_action=""From Company Website Certification"" data-coverage_area=""NA"" data-heading=""25708306"" data-hierarchy_1=""TNET"" data-hierarchy_2=""CERTIFICATIONS"" data-hierarchy_3=""From_Company_Website"" data-internal_search_term=""agriculture"" data-page_content_group=""Certifications"" data-servercallhost=""www.thomasnet.com"">RoHS Compliant</a></td></tr>\n<tr><td><img src=""//cdn.thomasnet.com/images/icons/grn_supplier_website.png"" title=""From Company Website"" alt=""From Company Website""></td><td><a href=""http://aqs-inc.com/?page_id=43"" target=""_blank"" data-event_type=""link"" data-advertiser_link=""http://aqs-inc.com/?page_id=43"" data-cert_id=""286920"" data-cert_name=""FDA Registered"" data-click_origin=""copro biz det"" data-client_ip=""69.27.5.110"" data-company_id=""30121532"" data-conversion_action=""From Company Website Certification"" data-coverage_area=""NA"" data-heading=""25708306"" data-hierarchy_1=""TNET"" data-hierarchy_2=""CERTIFICATIONS"" data-hierarchy_3=""From_Company_Website"" data-internal_search_term=""agriculture"" data-page_content_group=""Certifications"" data-servercallhost=""www.thomasnet.com"">FDA Registered</a></td></tr>\n</tbody></table>",Not Available'},AQS-INC,https://www.aqs-inc.com,"Manufacturer, Service Company","Javid Poornasir, Marketing Dir.",Custom Manufacturer,Fremont,CA,94538
"Company Description by Thomasnet
Manufacturer of farm and agricultural equipment. Products include rice harvesters, wagons, de-stickers, hydraulic rear dump trailers, dump carts and stainless steel wine processing, vineyard and cleaning equipment.","Esparto, CA 95627-2053 | map",,,"Herbst Mfg., Inc.",Manufacturer,,['Agricultural Equipment'],,"['details', 'equipment', 'brands']",agriculture,530-787-3460,Agricultural Equipment,Not Available,9-Jan,Not Available,Not Available,1946'},"Herbst Mfg., Inc.",Failed,Failed,Not Available,Manufacturer,Esparto,CA,95627
,"Glendale, CA 91208 | map",,https://climateminder.com/,ClimateMinder,Manufacturer,"Manufacturer of self-adaptive, wireless, M2M software & hardware technology that environmental sensors & controls through their mobile handsets.",['Electronics: Agricultural'],,"['phone_number', 'equipment', 'brands']",agriculture,,Agricultural Electronics,Not Available,Not Available,Not Available,Not Available,2005'},ClimateMinder,https://climateminder.com/,Failed,Not Available,Manufacturer,Glendale,CA,91208
"Company Description by Thomasnet
Manufacturer of microbial soil inoculants, which can be used to support plant health. Can be used as a substitute for chemical fertilizers and pesticides. Serves the agricultural industry. OMRI certified.","West Sacramento, CA 95691 | map",,https://www.acelabiotek.com/,Acela Biotek,Manufacturer,,['Agricultural Equipment'],,"['details', 'equipment', 'brands']",agriculture,833-692-2352,Agricultural Equipment,Not Available,Not Available,Not Available,Not Available,Not Available'},Acela Biotek,https://www.acelabiotek.com/,Distributor,Not Available,Manufacturer,West Sacramento,CA,95691
,"Loomis, CA 95650 | map","['ACE', 'Boominator', 'Grip-Seal', 'Jaeco', 'Micro-Trak', 'Precision Instrument', 'Remcor', 'Texas', 'Udor']",,Westflow Company,Manufacturer,"Manufacturers rep. & distributor of electronics for agricultural applications. Products include electronic monitors, automatic rate controllers & electromechanical pressure based spray control systems.",['Electronics: Agricultural'],,['equipment'],agriculture,916-303-6430,Agricultural Electronics,Under $1 Mil,9-Jan,Not Available,Not Available,1970'},Westflow Company,Failed,Failed,Failed,Failed,Loomis,CA,95650
,"Anaheim, CA 92807 | Locations","['3M', 'Aavid Thermalloy', 'ABB', 'Abbatron', 'Abbott-Interfast', 'Accuride', 'Acme', 'Adam Tech', 'Adhesive Systems', 'Advanced Interconnections', 'AeroPEM', 'Aeroquip', 'Air Industries', 'Airfasco', 'Alcoa', 'Alcoswitch', 'All-States', 'Allan', 'Allfast', 'Allied Devices', 'Alpha', 'Alps']",https://www.biscoind.com/,bisco industries,Distributor,"Distributor of agricultural and appliance fans. Various types include AC, DC and high static pressure fans. Features vary depending upon models and include die cast aluminum frames, metal impellers, impedance protected motors and dual ball bearings. Vendor managed inventory (VMI) programs and stock items available. Meets AS9100 Rev C standards. Kanban and JIT delivery.
Additional Agricultural Fans details","['Fans: Agricultural', 'Fans: Exhaust, Ventilating', 'Blower &amp; Fan Equipment', 'Fans', 'Fans: AC', 'Fans: Air Handling Unit', 'Fans: Air Intake', 'Fans: Appliance', 'Fans: Axial Flow', 'Fans: Cabinet Cooling']","['Standoffs and Spacers', 'Enclosures', 'Screws', 'Slides', 'Fasteners', 'Nuts', 'Studs', 'Washers', 'Bolts', 'Inserts', 'Rivets', 'Cabinets', 'Casters', 'Electronic Components', 'Fans', 'Hook and Loop', 'Miscellaneous Fasteners', 'Disconnects', 'Electric Wire, Cable and Cable Assemblies', 'Hardware']",[],agriculture,888-295-6128,Agricultural Fans,Not Available,Not Available,Failed,Not Available,1973'},bisco industries,https://www.biscoind.com/,Failed,Failed,Failed,Anaheim,CA,92807
,"Emeryville, CA 94608 | map",,https://www.acrylicart.com/,"Acrylic Art, Inc.",Manufacturer,"Custom manufacturer of covers including conveyor and equipment covers for agricultural, aircraft, automobile and military applications. Various materials include acrylic, acetal, ABS, polycarbonate, polyester, polyethylene, brass, aluminum, stainless steel, polysulfone and polypropylene. Capabilities include machining parts up to 20 in. L x 40 in. W x 14 in. H sizes, fabrication, boring, contouring, counterboring, countersinking, milling, facing, pocketing, profiling, reaming, turning, prototyping, assembly, decorating, drilling, engineering, engraving, finishing, lathe work, metalizing, product development, slitting, stress relieving, surface treatment, tapping, welding, blanking, blending, cutting, gluing, hardware insertion, painting, anodizing, routing, bonding, vapor polishing, screen printing, vinyl lettering and precision cleaning. Rush and emergency services available. ISO compliant. On-time delivery.
Additional Agricultural Covers details","['Covers: Agricultural', 'Covers', 'Covers: Aircraft', 'Covers: Automobile', 'Covers: Conveyor', 'Covers: Custom', 'Covers: Equipment', 'Covers: Machine', 'Covers: Military', 'Covers: Nylon']","['Acetal', 'Acrylic', 'Acrylic Products', 'Acrylonitrile Butadiene Styrene (ABS)', 'Additive Manufacturing', 'Advertising Specialties, Novelties, and Promotional Products', 'Aircraft Parts', 'Aluminum', 'Architectural Products', 'Assemblies', 'Assembly Services', 'Automotive Parts', 'Awards', 'Bins', 'Boring Services', 'Boxes', 'Brass', 'Bushings', 'Cabinets', 'Calibrators']",['brands'],agriculture,800-479-1278,Agricultural Covers,$1 - 4.9 Mil,Oct-49,Not Available,"<table><tbody><tr><td><img src=""//cdn.thomasnet.com/images/icons/grn_self_reported.png"" title=""Self Reported"" alt=""Self Reported""></td><td>RoHS Compliant</td></tr>\n</tbody></table>",1985'},"Acrylic Art, Inc.",https://www.acrylicart.com/,Failed,Failed,Failed,Emeryville,CA,94608
,"Grass Valley, CA 95945 | map",['PowerPallet'],https://www.wardventures.com/index.html,"Ward Systems, Inc.",Manufacturer,"Designer, manufacturer and integrator of material handling systems such as conveyors and automated vehicles. Products include storage retrieval and lay-up systems for pallets, robots, elevators (VRC), automated guided vehicles (AGV), automated doors, belt and edge conveyors. System dimension vary on customer specifications. Industries served include agricultural, aerospace, automotive, pharmaceutical, packaging, food and beverage, nuclear and electronics.
Additional Agricultural Equipment details",['Agricultural Equipment'],,['equipment'],agriculture,866-939-7798,Agricultural Equipment,$1 - 4.9 Mil,50-99,Not Available,Not Available,1991'},"Ward Systems, Inc.",https://www.wardventures.com/index.html,Failed,Failed,Failed,Grass Valley,CA,95945
"Company Description by Thomasnet
Distributor of tires including agricultural equipment, backhoes, motor graders, motor scrapers, skid steer, skip loaders, wheel loaders, mini excavator tracks, and skid steer / CTL tracks.","Placerville, CA 95667 | map",,https://monstertires.com/,Monster Tires,Distributor,,['Agricultural Equipment'],,"['details', 'equipment', 'brands']",agriculture,530-292-6400,Agricultural Equipment,Not Available,Not Available,Not Available,Not Available,Not Available'},Monster Tires,https://monstertires.com/,Failed,Not Available,Distributor,Placerville,CA,95667
"Company Description by Thomasnet
Manufacturer of agriculture, construction and industrial machinery. Products include trail dozers, hydraulic cylinders, disc harrows, wheel discs, chisels, rollers, seeders, scrapers, orchard, field and harvesting equipment.","Sutter, CA 95982 | map",,https://www.swecoproducts.com/,"SWECO Products, Inc.",Manufacturer,,['Agricultural Equipment'],,"['details', 'equipment', 'brands']",agriculture,530-673-8949,Agricultural Equipment,Not Available,Not Available,Not Available,Not Available,Not Available'},"SWECO Products, Inc.",https://www.swecoproducts.com/,Failed,"Mark Doering, Chief Financial Officer</li><li>Michael Ziegenmeyer, President</li><li>Tim Towne, Sales Manager",Manufacturer,Sutter,CA,95982
"Company Description by Thomasnet
Manufacturer of power transmission products for agricultural, marine, railway, automotive, and industrial sectors. Products include conveyor belts and systems, vehicle sealing, rubber tracks, undercarriages, seismic isolators, vibration controls, rubber fenders, seals, bearings, expansion joints, and flow control devices.","La Mirada, CA 90638 | map",,http://www.drbworld.com/,"DRB America, Inc.",Manufacturer,,,,"['details', 'equipment', 'equip_categories', 'brands']",agriculture,888-860-4450,Agricultural Belting,Under $1 Mil,9-Jan,Not Available,Not Available,2014'},"DRB America, Inc.",http://www.drbworld.com/,Failed,Not Available,Manufacturer,La Mirada,CA,90638
,"Vista, CA 92081 | map",,https://www.agfabric.com/,Agfabric,Manufacturer,"Manufacturer of agricultural covers. Types, features and dimensions vary. Other products include shade cloth, grow tunnels, weed barrier fabric, stakes, trellises, grow bags, shovels, handsaws, gardening sprayers, shears and hoes.",['Covers: Agricultural'],,"['equipment', 'brands']",agriculture,855-666-7156,Agricultural Covers,Not Available,50-99,Not Available,Not Available,Not Available'},Agfabric,https://www.agfabric.com/,Failed,Not Available,Manufacturer,Vista,CA,92081
,"Corona, CA 92882 | map",['Hadco'],https://www.hadcoengineering.com/,"Hadco Engineering, Inc.",Manufacturer,"Custom manufacturer of agricultural equipment including trailer parts and accessories including light, medium, and heavy-duty running gear assemblies. Available in 8,000 to 30,000 front and double steering capacities with 500 to 18,000 lbs. capacities per axle and front-mounted tie-rods. Also offers straight, steering, and dropped trailer axles with 1 1/2 nominal degrees camber and various overhang sizes, capacities, and track and length. Chassis accessories such as tie down rings, pintle hooks, tie down ring mounting blocks, and lunette eyes are available. Serves the OEM industry. Provides engineering services. Available with 12 to 18 months limited warranty.",['Agricultural Equipment'],,['equipment'],agriculture,951-278-1952,Agricultural Equipment,$1 - 4.9 Mil,Oct-49,Not Available,Not Available,1945'},"Hadco Engineering, Inc.",https://www.hadcoengineering.com/,Custom Manufacturer,Not Available,Manufacturer,Corona,CA,92882
,"Thousand Palms, CA 92276 | map",,https://www.microcool.com/index.html,MicroCool,Manufacturer,"Manufacturer of high pressure fog cooling systems for agriculture and horticulture humidification. Maintaining the ideal humidity in hatcheries helps the chicks through initial stages of growth before being moved to other facilities. Zone sectioning controllers at each location are monitored from external units, or as part of the overall climate control system.",['Agricultural Equipment'],,"['equipment', 'brands']",agriculture,800-322-4FOG,Agricultural Equipment,$1 - 4.9 Mil,Oct-49,Not Available,Not Available,1981'},MicroCool,https://www.microcool.com/index.html,Failed,Failed,Failed,Thousand Palms,CA,92276
